,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
73,0.0,Sat Jun 09 20:34:17 +0000 2018,1.0,0.0,0.0,RT @EricShawnTV: I anchor @FoxNews starting at 5 pm EDT with @ArthelNeville: What @POTUS @realDonaldTrump should say to Kim Jong-un. @MIT's…,74
74,-0.6486,Sat Jun 09 20:12:00 +0000 2018,0.65,0.35,0.0,Eunice Gayson first-ever Bond Girl dead at 90 https://t.co/BzfcRHNxu8,75
75,0.0,Sat Jun 09 20:07:00 +0000 2018,1.0,0.0,0.0,"At his press briefing today, President @realDonaldTrump slammed his presidential predecessor for ""allow[ing] Russia… https://t.co/BpMwYh65k5",76
76,0.0,Sat Jun 09 20:01:00 +0000 2018,1.0,0.0,0.0,OPINION: Newest Mars discovery tells us something miraculous about Earth https://t.co/mcATE1PRIl,77
77,-0.2584,Sat Jun 09 19:55:00 +0000 2018,0.887,0.113,0.0,.@realDonaldTrump doubles down on calls to include Russia in G-7: 'We're not looking to play games' https://t.co/nob4MbUZWM,78
78,0.0,Sat Jun 09 19:49:00 +0000 2018,0.562,0.247,0.191,.@seanhannity Praises Trump's Tough NoKo Action After 'Weak and Feckless' Obama Leadership   https://t.co/Q2Uj18acfS,79
79,-0.4939,Sat Jun 09 19:42:46 +0000 2018,0.814,0.186,0.0,Veteran claims his stolen Facebook photos were used to catfish 30 women during deployment https://t.co/YAuENcd5SL,80
80,0.6249,Sat Jun 09 19:37:46 +0000 2018,0.688,0.073,0.239,".@marykissel: ""A success in Singapore would be to get the [Kim] regime to commit to complete, irreversible and veri… https://t.co/R3KDjQXhmU",81
81,-0.1531,Sat Jun 09 19:29:00 +0000 2018,0.897,0.103,0.0,SUNDAY: Don’t miss @FoxNewsSunday from Singapore ahead of President @realDonaldTrump’s historic meeting with North… https://t.co/tyhBYdJ4jm,82
82,0.3182,Sat Jun 09 19:21:16 +0000 2018,0.905,0.0,0.095,"David Rivkin on @POTUS' power to self pardon: ""To say the president is above the law begs the question of what the… https://t.co/mgJPUNXWcz",83
83,0.1655,Sat Jun 09 19:16:27 +0000 2018,0.93,0.0,0.07,".@POTUS: ""I do have an absolute right to pardon myself, but I'll never have to do it because I didn't do anything w… https://t.co/bOUqiZ0R50",84
84,0.3612,Sat Jun 09 19:10:00 +0000 2018,0.737,0.0,0.263,Holocaust survivor who consoled Anne Frank dies https://t.co/mw0VdtPNgI,85
85,-0.6249,Sat Jun 09 19:02:20 +0000 2018,0.745,0.255,0.0,".@SeanHannity: ""President @BarackObama left Trump with unfettered international disaster after disaster."" #Hannity https://t.co/0lJuEwysLF",86
86,-0.4215,Sat Jun 09 18:56:32 +0000 2018,0.495,0.322,0.183,Republicans may have won the optics war on Congress' summer recess fight https://t.co/b1wIL2Onb0,87
87,-0.4767,Sat Jun 09 18:46:34 +0000 2018,0.838,0.162,0.0,"President @realDonaldTrump: ""Who are you with out of curiosity?""

Reporter: ""CNN.""

@POTUS: ""I figured - Fake News… https://t.co/yXZpAqd07M",88
88,-0.1531,Sat Jun 09 18:39:20 +0000 2018,0.897,0.103,0.0,"'Jersey Shore' star Mike 'The Situation' Sorrentino will face tax evasion sentencing this fall
https://t.co/Hnfrd4ZLLb",89
89,-0.296,Sat Jun 09 18:36:00 +0000 2018,0.896,0.104,0.0,"At his press briefing, President @realDonaldTrump said that the U.S. would no longer be a piggy bank robbed by othe… https://t.co/WAwm8Fld4P",90
90,0.3612,Sat Jun 09 18:34:04 +0000 2018,0.848,0.0,0.152,Trump says US is like a 'piggy bank that everybody is robbing' on trade https://t.co/iAdue9Nmav https://t.co/ew7uxi8JFW,91
91,-0.7906,Sat Jun 09 18:27:42 +0000 2018,0.562,0.438,0.0,Texas border patrol agents find 6 illegal immigrants trapped inside cabinets https://t.co/r5ANi7t94m,92
92,0.0,Sat Jun 09 18:20:08 +0000 2018,1.0,0.0,0.0,SUNDAY: @BretBaier is live in Singapore ahead of President @realDonaldTrump’s historic summit with North Korean lea… https://t.co/Z9gEu1Zqo2,93
93,0.1027,Sat Jun 09 18:19:00 +0000 2018,0.789,0.096,0.114,".@RepMcSally: ""@POTUS has made it clear that we will not tolerate them having a nuclear weapon that can hold a U.S.… https://t.co/Z9kwm68cBa",94
94,-0.5302,Sat Jun 09 18:16:48 +0000 2018,0.819,0.181,0.0,".@GrecianFormula on NK summit: ""My fear here is, I do not want [@POTUS] to give Kim Jong Un that handshake that wil… https://t.co/2BcF4gR3s9",95
95,0.5859,Sat Jun 09 18:14:09 +0000 2018,0.648,0.0,0.352,.@MittRomney predicts a @realDonaldTrump win in 2020. https://t.co/FtXsikIvlB https://t.co/W2EHQ9eAw5,96
96,-0.6249,Sat Jun 09 18:03:13 +0000 2018,0.638,0.362,0.0,"Florida Revokes Hundreds of Gun Permits After Background Check Error
https://t.co/4RteHthrjk",97
97,0.4939,Sat Jun 09 17:58:00 +0000 2018,0.814,0.0,0.186,"On @foxandfriends, @RCamposDuffy praised @FLOTUS Melania Trump in the wake of constant media scrutiny.… https://t.co/t4wxgWO0Qz",98
98,0.3612,Sat Jun 09 17:55:11 +0000 2018,0.884,0.0,0.116,".@kimguilfoyle on NK summit: ""With somebody like @POTUS who thinks out of the box...everything is on the table [unt… https://t.co/uFk6mAOEmC",99
99,0.4767,Sat Jun 09 17:46:52 +0000 2018,0.819,0.0,0.181,"Mike Kerrigan: I thought I had enough friends, then a stranger did this on my flight home https://t.co/xZNBnn26ZS",100
